GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WeatherApp,pl.kurs.weatherapp.services,WeatherApiService,59,39,4,0,13,11,3,2,1,2
WeatherApp,pl.kurs.weatherapp.services,WeatherUrlBuild,34,0,0,0,9,0,2,0,2,0
WeatherApp,pl.kurs.weatherapp.io,ConsolePrinter,21,0,0,0,9,0,4,0,4,0
WeatherApp,pl.kurs.weatherapp.io,DataReader,49,0,2,0,14,0,5,0,4,0
WeatherApp,pl.kurs.weatherapp.app,WeatherController,103,0,8,0,29,0,9,0,4,0
